"Fiscal Year","Start Date","End Date","Event Name","Event Type","Virtual / In-Person","Partners","Vol.","Vol. Hours","Prog. Hours","ARNG Adults","ANG Adults","Other Branch Adults","ARNG 6-12","ANG 6-12","Other Branch 6-12","ARNG 13-18","ANG 13-18","Other Branch 13-18","Other","0-5","Total","Resources / Referrals","Event Status","Reporting Complete","Event ID"
"FY23","2022-10-15","2022-10-15","FFF Des Moines","Family Days and Military Appreciation Events","","","30","2.5","2","134","0","0","87","0","0","15","0","0","0","90","326","326","Completed","true","7b102986-847a-496d-9ff9-cd78000dc705"
"FY23","2022-10-16","2022-10-16","Fall Family Festival Sioux City","Partnered Event or Activity","","","0","0","3","130","0","0","114","0","0","21","0","0","0","27","292","110","Completed","true","c9821a90-34b2-4585-9133-cce587e6485a"
"FY23","2022-10-16","2022-10-16","Fall Family Festival Council Bluffs","Partnered Event or Activity","","","0","0","2","141","0","0","124","0","0","23","0","0","0","29","317","0","Completed","true","a66da468-ac78-458c-a921-892125690d3b"
"FY23","2022-11-08","2022-11-08","WFSB Training Meeting","Family Programs Staff Meeting & IPRs","","","0","0","0","9","0","0","0","0","0","0","0","0","0","0","9","0","Completed","true","4fb74cb7-940a-400a-8874-4371f2be1037"
"FY23","2022-12-04","2022-12-04","Holiday Party","Family Days and Military Appreciation Events","","","1","2","2","100","0","0","12","0","0","4","0","0","0","8","124","100","Completed","true","f6cda318-b153-4c33-bccc-a6e37521b604"
"FY23","2022-12-05","2022-12-05","ANG 132 OG/124th ATKS Family Day","Family Days and Military Appreciation Events","","","1","2","2","52","0","0","46","0","0","8","0","0","0","11","117","52","Completed","true","0cf849c4-ec3c-40a1-bba6-442edcbf3757"
"FY23","2022-12-09","2022-12-11","STP Summit","Teen Council Meeting or Training","","","1","4","21","0","0","0","0","0","0","8","0","0","0","0","8","8","Completed","true","4870b960-05cf-4e99-b4be-f4617c869f3f"
"FY23","2022-12-10","2022-12-10","Volunteer Training","Volunteer Training","","","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Completed","true","a50d5545-7c31-4e2e-9af4-5a04606523e0"
"FY23","2022-12-10","2022-12-10","Cookies with Santa 2022","Partnered Event or Activity","","","16","3","2","49","0","0","24","0","0","9","0","0","0","30","112","104","Completed","true","27e33844-3b01-4cd5-991f-bae0bbf22c95"
"FY23","2023-01-29","2023-01-29","MFE: Quad Cities","Family Days and Military Appreciation Events","","","0","0","2","2","0","0","5","0","0","2","0","0","0","0","9","9","Completed","true","d474b04d-e2fd-4ed4-b359-6247e6e79618"
"FY23","2023-02-08","2023-02-08","JCF: Boone","Community Outreach, Briefings and Events","","","0","0","0","48","0","0","0","0","0","0","0","0","0","0","48","0","Completed","true","588f4c1a-9ad0-42c6-9046-f1c7bfb98020"
"FY23","2023-02-19","2023-02-19","MFE: Iowa City","Day Camp","","","3","2","2","5","0","0","17","0","0","7","0","0","0","0","29","0","Completed","true","b4a68953-7b4f-492b-b308-e8b3070ea61c"
"FY23","2023-03-07","2023-03-07","JCF: Council Bluffs","Community Outreach, Briefings and Events","","","0","0","0","62","0","26","0","0","0","0","0","0","0","0","88","0","Completed","true","96584586-12e4-4941-a009-6c111603dff0"
"FY23","2023-03-10","2023-03-12","STP Retreat","Teen Council Meeting or Training","","","0","0","23","2","0","0","0","0","0","6","0","0","0","0","8","6","Completed","true","bef9dacb-737b-49c1-a1d3-b3bc95fe1419"
"FY23","2023-03-12","2023-03-12","MFE: Sioux City","Day Camp","","","1","3","3","28","0","0","21","0","0","10","0","0","0","18","77","77","Completed","true","41fcc68e-b718-4784-8926-279ed74c03ac"
"FY23","2023-03-30","2023-03-30","132nd Wing Family Unit Event","Family Days and Military Appreciation Events","","","1","3","3","0","0","0","0","57","0","65","11","0","0","14","147","150","Completed","true","86512a10-4892-4cd5-8e9f-e89e2529cead"
"FY23","2023-04-05","2023-04-05","MOMC Paint Night","MOMC Event","","","0","0","2","8","0","0","23","0","0","0","0","0","0","0","31","0","Completed","true","55e7ffc1-3693-44cc-a115-38f46aed43be"
"FY23","2023-04-06","2023-04-06","JCF Des Moines","Command/Unit/FRG Briefings","","","0","0","0","21","0","0","0","0","0","0","0","0","0","0","21","3","Completed","true","3aa36d2a-7c14-4fa2-94b9-d1d2cc2363cb"
"FY23","2023-04-15","2023-04-15","Volunteer Ceremony","Command/Unit/FRG Briefings","","","0","0","0","52","0","0","3","0","0","1","0","0","0","0","56","6","Completed","true","af7d3f78-d14a-483d-aff1-4bd88aead60d"
"FY23","2023-04-25","2023-04-25","USO Teen Game Night","MOMC Event","","","0","0","3","0","0","0","0","0","0","18","0","0","0","0","18","18","Completed","true","6839b614-757f-46d4-b96b-5e715f1d4399"
"FY23","2023-04-29","2023-04-29","Military Family Ball","MOMC Event","","","14","8","3","46","0","0","41","0","0","7","0","0","0","10","104","107","Completed","true","acf6d624-b8c0-4dc5-a5b2-7a33da0157b3"
"FY23","2023-04-29","2023-04-29","Volunteer Training","Volunteer Training","","","0","0","2","0","12","0","0","0","0","0","0","0","0","0","12","0","Completed","true","a2362eab-1d3a-434e-b7ac-a3c794261c62"
"FY23","2023-04-29","2023-04-30","State Teen Panel","Teen Council Meeting or Training","","","0","0","16","0","0","0","0","0","0","7","0","0","0","0","7","0","Completed","true","acff5423-eaf4-4edf-8a4f-4678a06db27e"
"FY23","2023-05-05","2023-05-05","Boone Military Day","Family Days and Military Appreciation Events","","","0","0","1","25","0","0","6","0","0","0","0","0","120","0","151","50","Completed","true","a2ce5e63-e4b4-4a3c-b772-3f829207c9c8"
"FY23","2023-05-20","2023-05-20","MFE: Des Moines","Day Camp","","","0","0","2","34","0","0","55","0","0","6","0","0","0","16","111","105","Completed","true","2c0795f2-e7cc-4331-9886-d730ce237bae"
"FY23","2023-06-01","2023-06-01","Summer Concert Series 1","Family Days and Military Appreciation Events","","","0","0","2","120","0","0","8","0","0","0","0","0","0","0","128","0","Completed","true","645155f2-e2cc-484d-a0c7-dab216f83a08"
"FY23","2023-06-08","2023-06-08","Concert Series 2","Family Days and Military Appreciation Events","","","1","3","3","0","0","0","31","0","0","7","0","0","0","0","38","0","Completed","true","080db6e7-1c20-4005-89c3-2f9c258367a4"
"FY23","2023-06-10","2023-06-10","Yellow Ribbon","Yellow Ribbon Briefing and Programming","","","0","0","0","18","0","0","3","0","0","1","0","0","0","3","25","0","Completed","true","99f3530a-a6ed-45a4-b42e-70f6bbaa89a8"
"FY23","2023-06-24","2023-06-24","MFE: Waterloo","Day Camp","","","2","6","6","36","0","0","32","0","0","6","0","0","0","0","74","74","Completed","true","ae2d4faa-8d97-476c-bf51-e46c23bb39f3"
"FY23","2023-07-06","2023-07-06","Summer Concert Series","Family Days and Military Appreciation Events","","","1","3","3","0","0","0","29","0","0","5","0","0","0","0","34","0","Completed","true","997946f9-06c6-4d7c-a8f5-fce27798edbe"
"FY23","2023-07-23","2023-07-27","Youth Symposium","Youth Symposium","","","18","96","96","0","0","0","67","0","0","18","0","0","0","0","85","0","Completed","true","8206ebe0-23c7-449a-8d98-b0dc67fd4d09"
"FY23","2023-07-23","2023-07-23","Volunteer Training","Volunteer Training","","","0","0","1","3","0","15","0","0","0","0","0","0","0","0","18","0","Completed","true","28d48705-6455-4b18-b284-7c28f3f065c7"
"FY23","2023-08-05","2023-08-05","Yellow Ribbon","Yellow Ribbon Briefing and Programming","","","1","8","8","120","0","0","8","0","0","3","0","0","0","8","139","62","Completed","true","998ada59-023d-4d52-802e-77d2d3b5de08"
"FY23","2023-08-11","2023-08-11","INGOAUX Pool Party","Family Days and Military Appreciation Events","","","3","3","3","130","0","0","114","0","0","21","0","0","0","27","292","0","Completed","true","91181539-c664-47fa-9d2a-c9ecc9de6a54"
"FY23","2023-08-19","2023-08-19","SOS Muster","Gold Star Training/Event","","","1","2","8","80","0","0","11","0","0","4","0","0","0","6","101","15","Completed","true","f7adaf4d-9bbe-403b-a7ad-e893a667204b"
"FY23","2023-09-08","2023-09-08","1034 CSSB Pre YR","Yellow Ribbon Briefing and Programming","","","1","8","8","180","0","0","9","0","0","0","0","0","0","3","192","9","Completed","true","ae773b8e-6e90-4657-a832-fa8207d46782"
"FY23","2023-09-09","2023-09-09","209th Post YR","Yellow Ribbon Briefing and Programming","","","0","0","0","220","0","0","0","0","0","0","0","0","0","0","220","15","Completed","true","0c482673-6744-4c12-a402-2fd000b2dc13"
"FY23","2023-09-16","2022-09-16","Unit Family Day","Family Days and Military Appreciation Events","","","1","2","2","80","0","0","18","0","0","4","0","0","0","12","114","18","Completed","true","2074a2c8-65d8-4749-aaee-8f1f6b4e89d3"
"FY23","2023-09-17","2023-09-17","185th CSSB Soldier/Family Picnic","Family Days and Military Appreciation Events","","","1","2","2","120","0","0","36","0","0","0","0","0","0","12","168","0","Completed","true","de07ea85-22f5-42f3-9868-1ad96afbb62a"
"FY23","2023-09-24","2023-09-24","MFE: Council Bluffs","Day Camp","","","1","3","3","21","0","0","19","0","0","3","0","0","0","3","46","49","Completed","true","fc88a5c2-f1d0-4a8b-84ca-c8dae249ce20"
"FY24","2023-10-14","2023-10-14","Volunteer Training","Volunteer Training","","","21","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Completed","true","001421db-b878-4e24-adac-6a788ef5930f"
"FY24","2023-10-14","2023-10-14","STP Summit","Teen Council Meeting or Training","","","0","0","5","0","0","0","0","0","0","3","0","0","0","0","3","0","Completed","true","902150a6-082e-4c62-a049-0a97abfdf54a"
"FY24","2023-10-14","2023-10-14","Fall Family Festival","Day Camp","","","43","5","2","132","0","0","28","0","0","87","0","0","0","51","298","0","Completed","true","7459343b-84c2-48e1-8726-ebcdfc9a7383"
"FY24","2023-12-01","2023-12-01","132d Air Holiday Party","Family Days and Military Appreciation Events","","","1","3","3","50","0","0","35","0","0","25","0","0","0","15","125","50","Completed","true","fb12bc83-410e-467f-a3d9-1478f6782565"
"FY24","2023-12-02","2023-12-02","Army Holiday Party","Family Days and Military Appreciation Events","","","1","3","3","100","0","0","22","0","0","0","0","0","0","8","130","30","Completed","true","f684045f-c5a7-402a-a5a4-c16f47d59bc0"
"FY24","2023-12-02","2023-12-02","Yellow Ribbon","Yellow Ribbon Briefing and Programming","","","0","0","8","0","0","0","4","0","0","0","0","0","0","0","4","0","Completed","true","63a7b72d-3a02-4a08-ad39-31bb2cd75d02"
"FY24","2023-12-09","2023-12-10","State Teen Panel","Teen Council Meeting or Training","","","1","3","16","0","0","0","0","0","0","14","0","0","0","0","14","0","Completed","true","bb969ac3-8054-449b-b35d-1be6729ad322"
"FY24","2023-12-09","2023-12-09","Volunteer Training","Volunteer Training","","","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Completed","true","094c2abc-763a-4328-8b52-e04d43327a61"
"FY24","2023-12-09","2023-12-09","Cookies w/ Santa","Day Camp","","","19","3","2","67","0","0","54","0","0","16","0","0","0","14","151","67","Completed","true","0839e098-1ddc-4a3f-b92f-f4af79d79427"
"FY24","2024-01-28","2024-01-28","MFE: Davenport","Day Camp","","","0","0","0","14","0","0","11","0","0","11","0","0","0","0","36","0","Completed","true","4cd1c1a5-c908-4fc2-b601-9a97295f2cc3"
"FY24","2024-02-07","2024-02-07","JCF: Boone","Community Outreach, Briefings and Events","","","0","0","0","54","0","0","0","0","0","0","0","0","0","0","54","12","Completed","true","6f884b1e-8092-497f-b3c6-f0b3cf82fd39"
"FY24","2024-02-17","2024-02-17","MFE: Iowa City","Day Camp","","","1","2","2","21","0","0","30","0","0","6","0","0","0","0","57","61","Completed","true","53172228-017d-4fc2-8c28-8cbb72f9b0cd"
"FY24","2024-03-04","2024-03-04","Volunteer Training","Volunteer Training","","","0","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","Completed","true","3cb78ce9-2b1c-45ef-995a-0bb3cab7a2ce"
"FY24","2024-03-08","2024-03-10","STP Retreat","Teen Council Meeting or Training","","","2","9.5","20.5","0","0","0","0","0","0","11","0","0","0","0","11","33","Completed","true","205ffde8-81dd-4cd9-99d2-8356eed213d7"
"FY24","2024-03-14","2024-03-14","Volunteer Training","Volunteer Training","","","0","0","1","2","0","0","0","0","0","0","0","0","0","0","2","0","Completed","true","92864295-304c-491c-a3f3-a60b089ff949"
"FY24","2024-04-12","2024-04-12","MOMC Classroom Events","MOMC","","","7","5","0","0","0","0","63","0","0","10","0","0","0","7","80","0","Completed","true","34dc0656-2fa2-405e-ae93-afca07a59e44"
"FY24","2024-04-14","2024-04-14","MFE: Sioux City","MOMC","","","1","2","3","15","0","0","22","0","0","6","0","0","0","5","48","48","Completed","true","ac7b0113-839c-46e6-8740-ebce5994c7ba"
"FY24","2024-04-18","2024-04-18","Proclamation","MOMC","","","0","0","1.5","22","0","0","9","0","0","9","0","0","0","8","48","0","Completed","true","1cdd2b55-30ca-4d5b-8f20-bb7438df59d1"
"FY24","2024-04-27","2024-04-27","","MOMC","","","29","4.5","3","42","0","0","26","0","0","19","0","0","0","6","93","0","Completed","true","df443e57-0a52-4f7a-ba6f-4882e5347f8b"
"FY24","2024-04-27","2024-04-27","Volunteer Training","Volunteer Training","","","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Completed","true","bc994709-9277-464d-865f-c1abba6daf5c"
"FY24","2024-04-27","2024-04-27","STP Summit","Teen Council Meeting or Training","","","3","10","10","2","0","0","0","0","0","8","0","0","0","0","10","0","Completed","true","e259a4a4-2373-4fa6-a692-360199f94a66"
"FY24","2024-05-11","2024-05-11","YRRP During Oskaloosa","Yellow Ribbon Briefing and Programming","","","0","0","0","30","0","0","0","0","0","0","0","0","0","1","31","30","Completed","true","5811df22-7925-43a3-aa37-e7f50ead0d91"
"FY24","2024-05-18","2024-05-18","MFE: Des Moines","Community Outreach, Briefings and Events","","","1","2","2","35","0","0","20","0","0","6","0","0","0","14","75","79","Completed","true","b7d64f83-e253-41eb-a1a3-7cacabba391f"
"FY24","2024-05-30","2024-05-30","TAG Concert Series","Family Days and Military Appreciation Events","","","0","0","0","0","0","0","47","0","0","14","0","0","0","0","61","0","Completed","true","1dc0a7c8-2cbb-4007-bf48-911804910af2"
"FY24","2024-06-08","2024-06-08","Military Family Event: Waterloo","Day Camp","","","0","0","0","13","0","0","13","0","0","11","0","0","0","3","40","6","Completed","true","29874cc4-fdf2-44f1-ae0b-9b6e28ee2751"
"FY24","2024-06-20","2024-06-20","TAG Concert #3","Family Days and Military Appreciation Events","","","1","2.5","2.5","0","0","0","40","0","0","24","0","0","0","0","64","0","Completed","true","eb6342e3-efb6-4c20-a263-98856522d4c8"
"FY24","2024-06-25","2024-06-25","JCF: Waterloo","Community and Partner Trainings or Meetings","","","0","0","0","40","0","0","0","0","0","0","0","0","0","0","40","0","Completed","true","d215d259-8c8e-49a8-ae53-59c69dcc15c6"
"FY24","2024-06-27","2024-06-27","TAG Concert #4","Family Days and Military Appreciation Events","","","0","0","2.5","0","0","0","43","0","0","8","0","0","0","0","51","0","Completed","true","5b1703b1-46ce-40d0-977c-bb244e49f1ce"
"FY24","2024-07-16","2024-07-20","Regional STP Symposium","Regional Symposium","","","1","71.75","71.75","4","0","0","0","0","0","8","0","0","0","0","12","0","Completed","true","cd123c94-b6fa-4566-9e86-7c467027ca2f"
"FY24","2024-07-20","2024-07-20","SOS Retreat","Gold Star Training/Event","","","2","8","8","0","0","0","93","0","0","20","0","0","0","0","113","20","Completed","true","57af7d02-4cd3-4cee-8e1b-c935f598ef8b"
"FY24","2024-07-21","2024-07-27","Youth Symposium","Youth Symposium","","","22","96","96","0","0","0","34","0","0","51","0","0","0","0","85","85","Completed","true","3270e1e7-63b1-4247-a253-e5f7d4d3f78e"
"FY24","2024-07-21","2024-07-21","Volunteer Training","Volunteer Training","","","0","0","2","0","0","0","0","0","0","0","0","0","22","0","22","0","Completed","true","b745c8f4-44da-47ba-b6d5-b779e2a8c60c"
"FY24","2024-09-08","2024-09-08","MFE: Council Bluffs","Community Outreach, Briefings and Events","","","0","0","2","5","0","0","4","0","0","0","0","0","0","4","13","6","Completed","true","7912f529-ce81-428d-931a-d4a634ad348d"
"FY24","2024-09-16","2024-09-18","STP Interviews","Teen Council Meeting or Training","","","0","0","3.5","0","0","0","0","0","0","13","0","0","0","0","13","0","Completed","true","75e47491-fd92-49d5-af9f-133f72fc40c9"
"FY24","2024-09-21","2024-09-21","Yellow Ribbon","Yellow Ribbon Briefing and Programming","","","0","0","0","225","0","0","3","0","0","1","0","0","0","0","229","18","Completed","true","87a037a4-3168-452b-98c5-5d5119d2761b"
"FY24","2024-09-25","2024-09-25","Davenport Joining Community Forces","Community Outreach, Briefings and Events","","","0","0","0","20","0","0","0","0","0","0","0","0","30","0","50","5","Completed","true","14359199-c774-431f-b9a3-1150320139b9"
"FY25","2024-10-12","2024-10-12","Fall Family Festival","Community Outreach, Briefings and Events","","","64","5","2","61","0","0","46","0","0","10","0","0","0","12","129","10","Completed","true","9db79977-0c0d-4856-b3ad-e1119f717d0b"
"FY25","2024-10-12","2024-10-12","Volunteer Training","Volunteer Training","","","0","0","1","30","0","0","0","0","0","0","0","0","34","0","64","0","Completed","true","4e9ff1a0-5986-4e94-9960-9142e1c46f25"
"FY25","2024-10-31","2024-10-31","Family Programs IPR","Family Programs Staff Meeting & IPRs","","","0","0","0","16","0","0","0","0","0","0","0","0","0","0","16","0","Completed","true","9ca43152-61ea-4eba-92b9-f1fed6b09520"
"FY25","2024-11-01","2024-11-01","Unit Family Day","Family Days and Military Appreciation Events","","","1","2","2","40","0","0","22","5","0","2","0","0","0","0","69","0","Completed","true","204bad22-e3d6-4966-9ba4-d11e8fdc8961"
"FY25","2024-11-15","2024-11-15","JCF","Community Outreach, Briefings and Events","","","0","0","0","40","0","26","0","0","0","0","0","0","0","0","66","8","Completed","true","fc768a8f-ca43-4ccc-8b62-752d28d0d207"
"FY25","2024-12-02","2024-12-02","185 CSSB Unity Holiday Event","Family Days and Military Appreciation Events","","","2","2","2","98","0","0","22","0","0","4","0","0","0","8","132","30","Completed","true","722b8bc5-59e1-4244-a84e-d976105cb89a"
"FY25","2024-12-05","2024-12-05","Annual Brief","Command/Unit/FRG Briefings","","","1","1","1","119","0","0","0","0","0","0","0","0","0","0","119","15","Completed","true","9ef5824e-e95f-4c44-80b7-7ecc9b5b3670"
"FY25","2024-12-05","2024-12-05","RSG Annual Brief","Command/Unit/FRG Briefings","","","1","1","1","45","0","0","0","0","0","0","0","0","0","0","45","10","Completed","true","949bdca8-75f0-40b9-a0fb-baf896370080"
"FY25","2024-12-06","2024-12-06","132nd ARW Holiday Event","Family Days and Military Appreciation Events","","","2","2","2","0","157","0","0","82","0","0","25","0","0","32","296","0","Completed","true","d407df16-3567-4674-aefe-d4314b3166c7"
"FY25","2024-12-07","2024-12-07","Camp Dodge Training Center Holiday Event","Family Days and Military Appreciation Events","","","1","2","2","83","0","0","21","0","0","2","0","0","0","5","111","32","Completed","true","f6804f75-79e0-4de7-b3ed-a629a18b4caf"
"FY25","2024-12-07","2024-12-07","Yellow Ribbon","Yellow Ribbon Briefing and Programming","","","1","1","1","40","0","0","1","0","0","0","0","0","0","0","41","8","Completed","true","9331747d-5fdc-4445-9c3a-ffb4240046d7"
"FY25","2024-12-08","2024-12-08","734 RSG HHC Holiday Event","Family Days and Military Appreciation Events","","","1","2","2","90","0","0","68","0","0","14","0","0","0","18","190","68","Completed","true","e4871b98-db3f-4e5d-9421-8b574bf9560c"
"FY25","2025-01-25","2025-01-25","186th MP/ 1034th CSSB Post Yellow Ribbon Event","Yellow Ribbon Briefing and Programming","","","0","0","0.5","75","0","0","3","0","0","0","0","0","10","0","88","6","Completed","true","443a0b08-a319-439f-bd17-09f3f270756a"
"FY25","2025-02-16","2025-02-16","MFE Cedar Rapids","Day Camp","","","0","0","2","3","0","0","4","0","0","2","0","0","0","0","9","0","Completed","true","2a189209-f6b5-49e3-90c5-a25ce020ca98"
"FY25","2025-02-23","2025-02-23","MFE: Davenport","Day Camp","","","1","0","2","7","0","0","8","0","0","0","0","0","0","5","20","7","Completed","true","b7181059-5abb-4463-b00c-aeaa4ded8f89"
"FY25","2025-03-07","2025-03-09","STP Retreat","Teen Council Meeting or Training","","","2","6","23","9","0","0","0","0","0","9","0","0","0","0","18","0","Completed","true","2872a9bc-1a07-4b3e-b2a2-2743a32795a1"
"FY25","2025-04-06","2025-04-06","MFE: Sioux City","MOMC","","","0","0","2","10","0","0","9","0","0","5","0","0","0","3","27","4","Completed","true","23b66d25-65c8-421b-b5bb-ff9de09bf153"
"FY25","2025-04-12","2025-04-12","Military Family Ball","MOMC","","","10","2","3","26","0","0","0","16","0","0","13","0","0","7","62","0","Completed","true","41305074-b861-4b54-8a54-0da090ffaeaf"
"FY25","2025-04-12","2025-04-12","State Teen Panel","Teen Council Meeting or Training","","","0","0","9","0","0","0","0","0","0","10","0","0","0","0","10","0","Completed","true","0f3cc01f-2d9b-437b-9535-8c1155936092"
"FY25","2025-04-12","2025-04-12","Volunteer Training","Volunteer Training","","","0","0","1","10","0","0","0","0","0","0","0","0","0","0","10","0","Completed","true","8318c046-2b73-428c-9510-add19772c6c9"
"FY25","2025-04-22","2025-04-22","Governor Proclamation Signing","MOMC","","","0","0","1.5","8","0","0","4","0","0","4","0","0","0","0","16","0","Completed","true","87af754c-4be0-4a33-8847-b81b7b8d11e2"
"FY25","2025-04-27","2025-04-27","MFE Des Moines","MOMC","","","1","2","2","41","0","0","31","0","0","8","0","0","0","6","86","41","Completed","true","519ebcb4-1f71-4ade-b18b-7403aa7a62ef"
"FY25","2025-04-30","2025-04-30","Purple Up Classroom Kits","MOMC","","","0","0","1","0","0","0","126","0","0","0","0","0","2520","0","2646","126","Completed","true","835699f6-e09b-4b0c-98dd-78a4c5f0fc3e"
"FY25","2025-05-13","2025-05-13","Career/ Resource Fair","Community Outreach, Briefings and Events","","","0","0","0.5","3","0","0","0","0","0","0","0","0","0","0","3","3","Completed","true","fbdbb806-f099-499f-ba51-86ca5d6d1b50"
"FY25","2025-05-16","2025-05-16","Yellow Ribbon - Des Moines","Yellow Ribbon Briefing and Programming","","","1","8","7","1100","0","0","3","0","0","0","0","0","0","0","1103","35","Completed","true","96b78360-852f-46c2-90c1-0ca8d1b4024c"
"FY25","2025-05-16","2025-05-16","Yellow Ribbon - Iowa City","Yellow Ribbon Briefing and Programming","","","0","0","2","0","0","0","26","0","0","0","0","0","0","0","26","26","Completed","true","05e425aa-583b-4e81-800f-c74f7550ae10"
"FY25","2025-05-17","2025-05-17","Yellow Ribbon - Waterloo","Yellow Ribbon Briefing and Programming","","","0","0","2","0","0","0","7","0","0","0","0","0","0","0","7","5","Completed","true","c2af97bf-fe83-44f4-ad80-548b974508b8"
"FY25","2025-05-17","2025-05-17","Yellow Ribbon - Boone","Yellow Ribbon Briefing and Programming","","","0","0","2","0","0","0","7","0","0","0","0","0","0","0","7","6","Completed","true","9e5a9228-b01f-4e45-b8c8-3ed9afeae062"
"FY25","2025-05-18","2025-05-18","Yellow Ribbon - Council Bluffs","Yellow Ribbon Briefing and Programming","","","0","0","2","0","0","0","3","0","0","0","0","0","0","0","3","3","Completed","true","915b937e-5f6a-410e-9ecb-6b3445c62992"
"FY25","2025-05-18","2025-05-18","Yellow Ribbon - Sioux City","Yellow Ribbon Briefing and Programming","","","0","0","2","0","0","0","16","0","0","0","0","0","0","0","16","16","Completed","true","faaa8278-b68e-4c7a-a5bc-b3c9fd2b0f2b"
"FY25","2025-06-02","2025-06-02","Horse Camp Group 1","Day Camp","","","13","2.5","2.5","6","0","0","6","0","0","0","0","0","0","0","12","6","Completed","true","4a4ace47-5558-4e79-bfcd-60423bde7d7f"
"FY25","2025-06-03","2025-06-03","Horse Camp Group 2","Day Camp","","","13","2.5","2.5","11","1","0","14","1","0","0","0","0","0","0","27","11","Completed","true","3ea51784-0c98-46f9-b9d7-a4f55e5cf083"
"FY25","2025-06-04","2025-06-04","Horse Camp Group 3","Day Camp","","","13","2.5","2.5","14","0","0","12","1","0","1","0","0","0","0","28","12","Completed","true","c4216c85-3cb8-4457-84d8-ef5a47e84768"
"FY25","2025-06-05","2025-06-05","Horse Camp Group 4","Day Camp","","","13","2.5","2.5","0","0","0","12","0","0","2","1","0","0","1","16","11","Completed","true","ca0b4882-9b97-40cb-82ac-690e1fe5ea5f"
"FY25","2025-07-01","2025-07-01","TAG Concert Series 1","Family Days and Military Appreciation Events","","","2","3.5","3","0","0","0","55","0","0","7","0","0","0","5","67","0","Completed","true","d3e1f634-cfa2-47c7-94cf-5923fe901e31"
"FY25","2025-07-14","2025-07-18","Region 7 Symposium","Regional Symposium","","","0","0","46.25","6","0","0","0","0","0","9","0","0","0","0","15","27","Completed","true","da921481-2136-42cc-8c12-59a5c8d281fe"
"FY25","2025-07-15","2025-07-15","TAG Concert Series 2","Family Days and Military Appreciation Events","","","0","0","3","0","0","0","17","0","0","5","0","0","0","0","22","0","Completed","true","153118e0-9d4c-442e-98e5-9c364b4fcc07"
"FY25","2025-07-20","2025-07-26","Summer Camp","Youth Symposium","","","21","86","84","0","0","0","34","0","0","45","1","0","0","0","80","0","Completed","true","71c68929-80a1-4fe7-a8d5-ee7380aef183"
"FY25","2025-07-20","2025-07-20","Iowa City 1133rd Unit Family Day","Family Days and Military Appreciation Events","","","1","2","0.5","56","0","0","8","0","0","15","0","0","0","8","87","15","Completed","true","fa5f4736-5bf9-4e0b-80cb-f89952f6e404"
"FY25","2025-07-20","2025-07-20","Volunteer Training","Volunteer Training","","","0","0","1","21","0","0","0","0","0","0","0","0","0","0","21","0","Completed","true","b8ca7211-bc26-43ab-8f30-3f86a8c248cf"
"FY25","2025-07-29","2025-07-29","TAG Concert Series 3","Family Days and Military Appreciation Events","","","2","2.5","2","0","0","0","7","0","0","8","0","0","0","0","15","0","Completed","true","74f6c307-6445-4183-8a93-f382733dc42e"
"FY25","2025-08-30","2025-08-30","SOS Retreat","Gold Star Training/Event","","","1","9","9","0","0","0","13","0","0","5","0","0","0","0","18","18","Completed","true","83343dc7-2244-4a21-854c-65849e61f9b0"
"FY25","2025-09-09","2025-09-09","Resource Fair","Command/Unit/FRG Briefings","","","0","0","1.5","150","0","0","0","0","0","0","0","0","0","0","150","12","Completed","true","ea150ad0-8f2b-43b3-81c2-0d5d5fcef981"
"FY26","2025-10-25","2025-10-25","Fall Family Festival","Family Days and Military Appreciation Events","","","113","4","2","137","14","30","104","11","3","31","3","6","0","42","381","511","Completed","true","54ec4cd0-ebf7-42c5-aa02-13c9be0c85fe"
"FY26","2025-10-25","2025-10-25","Volunteer Training","Volunteer Training","","","0","0","1","24","0","0","0","0","0","0","0","0","0","0","24","0","Completed","true","16a2b27d-f008-434f-ac9c-cd32877c3dce"
"FY26","2025-10-25","2025-10-25","State Teen Panel","Teen Council Meeting or Training","","","0","0","4","0","0","0","6","0","0","0","0","0","0","0","6","0","Completed","true","b6cb1890-7ae3-41a8-b360-2c0670bd40b3"
"FY26","2025-12-06","2025-12-06","Camp Dodge Training Center","Family Days and Military Appreciation Events","","","2","4","2","90","0","0","69","0","0","20","0","0","0","0","179","30","Completed","true","35ef6193-e060-4a2c-9077-8951ed208ddc"
"FY26","2025-12-07","2025-12-07","HHC 185 CSSB","Family Days and Military Appreciation Events","","","2","4","2","63","0","0","48","0","0","14","0","0","0","0","125","30","Completed","true","699f5d4b-2542-4432-acbe-cb58d79e2c13"
"FY26","2025-12-07","2025-12-07","734 RSG","Family Days and Military Appreciation Events","","","2","4","2","133","0","0","101","0","0","30","0","0","0","0","264","40","Completed","true","6cc2d610-095f-4805-8305-8b09afdee5e7"
"FY26","2025-12-09","2025-12-09","Resource Fair","Command/Unit/FRG Briefings","","","0","0","1","25","0","0","0","0","0","0","0","0","0","0","25","10","Completed","true","d833df79-51a9-413e-a4ab-3f8a85c3284c"
